community_id,size
17640392,20
24946044,20
10396702,20
416963802,20
87189905,19
294170696,19
12369372,19
25069628,19
7449842,19
161115418,19
26727250,19
136161469,19
63844430,19
149291303,19
29361488,19
121181304,18
18682397,18
18918240,18
23742633,18
20347014,18
71020987,18
119798626,18
554078214,18
15446537,18
16027638,18
322985504,18
19614825,18
27961547,18
7890392,18
64441390,18
679193,18
28049003,18
219458935,17
10587552,17
489264841,17
58668255,17
191072739,17
260170944,17
176936249,17
1008591,17
14404235,17
14893249,17
17874544,17
40813518,17
245482049,17
24278900,17
163838883,17
10615232,17
85259796,17
86998735,16
73298877,16
33464639,16
153474021,16
21316821,16
17569292,16
21255844,16
248916246,16
131289713,16
19894441,16
24655514,16
32547856,15
20119746,15
17654287,15
36686415,15
196341171,15
18196758,15
20011697,15
30542242,15
80479756,15
76369773,15
773450,15
38224899,15
21799052,15
16017924,15
14671967,15
18092342,15
10214682,15
16651774,15
14972035,15
4816,15
68880921,15
65478935,15
262275490,15
30086507,15
282388693,15
22252971,15
345503478,15
16511483,15
87556280,15
235074819,14
378743443,14
16417019,14
15028405,14
289137017,14
275197798,14
28267054,14
15530428,14
23798570,14
33863910,14
22843068,14
79267449,14
25553606,14
107456903,14
19492845,14
22076624,14
24951388,13
170948145,13
121173304,13
3298931,13
237845487,13
19518360,13
92359619,13
20615067,13
9855382,13
44055873,13
17387561,13
43702619,13
148514778,13
16193542,13
15185188,13
14309995,13
72445681,13
1979391,13
31380207,12
127003249,12
58238234,12
191229716,12
14535004,12
20808669,12
12509262,12
40289734,12
14630490,12
38056900,12
40705032,12
2257971,12
183907079,12
20717420,12
37366411,12
54775201,12
14955908,12
20437975,12
17220934,12
563200400,12
16727535,12
16047845,12
242876057,12
556522155,12
17663756,12
195316132,11
206923844,11
3603511,11
200270317,11
168224294,11
20905358,11
47244704,11
14629709,11
21999375,11
17926257,11
471287735,11
66798603,11
21363077,11
209075830,11
30546177,11
18181076,11
22954430,11
218336003,11
43137472,11
15661966,10
37349209,10
14327450,10
7463152,10
14812771,10
17122048,10
49098552,10
18030179,10
24979293,10
16319465,10
208637263,10
249017270,10
186392972,10
58005076,10
81003572,10
16509275,10
65387429,10
44114848,10
14202104,10
93787797,10
46831674,10
98801140,10
111045742,10
19759597,10
14440284,10
469499707,10
32741922,10
4970411,10
201223694,9
260990894,9
20386615,9
106910367,9
526316060,9
16827760,9
693803,9
17106279,9
19087011,9
469226535,9
20838780,9
368152624,9
66823674,9
66504150,9
168787471,9
63821117,9
13337802,9
14461150,9
2046991,9
51264814,9
183206939,9
54393021,9
10194392,8
347788475,8
20641338,8
12462062,8
98306941,8
16364793,8
28644277,8
31443631,8
21158690,8
75922852,8
219365298,8
83338775,8
16125750,8
8824902,8
14340587,8
1922861,8
353482545,8
14444476,8
124474025,8
53685618,8
26234692,8
19052643,8
22715656,8
18320151,8
18091925,8
76702882,8
55109529,8
27220046,8
15053535,8
56289002,8
14738194,8
73860359,8
73019162,8
10671602,7
14924515,7
16880577,7
15631182,7
6165372,7
14607214,7
407397848,7
12605122,7
301207669,7
734493,7
24736925,7
158848407,7
18338485,7
16429626,7
17241895,7
14934818,7
648523,7
7682452,7
50923208,7
139810919,7
127021458,7
44800299,7
14032582,7
9726292,7
35012599,7
62671772,7
24044348,7
21159746,7
37177143,7
14142965,7
165097255,7
42253637,7
18752156,7
124059687,7
7093212,7
141433630,7
20786717,7
185154825,7
149972576,7
272185609,7
14325210,7
87771546,7
13369452,7
94919897,7
117590354,7
16634301,6
240740059,6
18396825,6
24977228,6
31442863,6
16522668,6
227302140,6
203307838,6
14595502,6
58501132,6
20598427,6
43658360,6
28665877,6
118504288,6
17461978,6
23944045,6
57325709,6
3489461,6
174302147,6
17093604,6
222723,6
761290,6
10341532,6
13275962,6
113707190,6
236125571,6
27495282,6
128393253,6
28966569,6
365698380,6
401524142,6
37056821,6
16371289,6
30008760,6
55656369,6
321620987,6
18926736,6
44571432,6
177332689,6
21647370,6
18768302,6
344344070,6
29295486,6
19279990,6
125653548,6
178671908,6
148099075,6
37899473,6
238253619,6
197134784,6
173998684,6
160991035,6
128960879,6
11807172,6
189111957,6
15089988,6
30667216,6
57436812,5
26839944,5
15931507,5
26250481,5
129244005,5
19683967,5
48480162,5
50626884,5
68033,5
126332389,5
28410768,5
14259641,5
108185203,5
41047618,5
43591449,5
113196940,5
38454299,5
56658960,5
42343110,5
20332982,5
20483032,5
5979722,5
31464977,5
38524235,5
24742040,5
410147474,5
228854500,5
224844342,5
30207757,5
331878888,5
7450992,5
19041826,5
139250316,5
6932712,5
20768844,5
15070932,5
92526226,5
196771576,5
41302071,5
266851687,5
112402739,5
156176094,5
16950531,5
374007416,5
219414740,5
5899802,5
14809024,5
211235703,5
7008682,5
34991732,5
152309350,5
18846990,5
21816783,5
31073195,5
15248360,5
236105730,5
243831433,5
86347253,5
44775369,5
59251912,5
18449036,5
46499589,5
226422926,5
344339094,4
209747379,4
20598586,4
20999409,4
51446354,4
16027078,4
8335182,4
17878976,4
17020962,4
18373048,4
146775725,4
155853583,4
15720542,4
29905930,4
2363991,4
50310655,4
21366823,4
15809249,4
78425421,4
40164390,4
120971873,4
7875912,4
24136528,4
50037051,4
457963547,4
52422878,4
23770107,4
459898457,4
17537067,4
360348218,4
15001424,4
36159652,4
142145802,4
59925522,4
18040595,4
15207626,4
21116178,4
21966989,4
488583914,4
18402842,4
160817572,4
237578411,4
146598249,4
357821267,4
20825949,4
37965714,4
1809871,4
41931380,4
51166558,4
5645142,4
13919072,4
814316,4
23545799,4
306667319,4
22972574,4
27242126,4
15296009,4
2354291,4
43961854,4
25837899,4
548527409,4
37442875,4
14371835,4
130636009,4
186275867,4
14632831,4
5413762,4
47300339,4
27743077,4
199992378,4
18581803,4
58562140,4
94212959,4
19611483,4
16616109,4
15481789,4
136396803,4
20325734,4
74476912,4
113112076,4
126345156,4
39525929,4
15131814,4
62829579,4
745823,4
23819371,4
26907066,4
39617725,4
855741,4
6039902,3
85102611,3
14748945,3
26103051,3
356963,3
459832104,3
14506253,3
53435454,3
116942168,3
16957842,3
35841730,3
224,3
16373753,3
26575221,3
15651612,3
19096593,3
164328875,3
15939057,3
37814593,3
161417439,3
351062478,3
17244311,3
22704170,3
188809568,3
34574063,3
66841215,3
36970276,3
14930659,3
6219612,3
36981972,3
18687625,3
23911820,3
8167772,3
2895661,3
36795569,3
155689319,3
8768832,3
50940456,3
25179170,3
3094911,3
21699403,3
309911897,3
15577773,3
18919970,3
34437965,3
18718580,3
14915187,3
93337184,3
33633793,3
17065446,3
13377342,3
88376880,3
16220934,3
24884251,3
140185547,3
160994217,3
7249822,3
245209245,3
326926285,3
5768872,3
1679071,3
107198898,3
34892566,3
6572452,3
94147192,3
113839305,3
22971743,3
68055854,3
14668639,3
256760125,3
151303092,3
19299909,3
71028795,3
249831237,3
46306338,3
191896931,2
14719968,2
90021519,2
48351665,2
19684446,2
100594239,2
29508241,2
173205778,2
16746862,2
388212339,2
3415861,2
25198464,2
30805526,2
42812556,2
73707412,2
33413245,2
15955826,2
68257605,2
92324608,2
18156837,2
61475880,2
229648304,2
50486776,2
972651,2
14174040,2
17373177,2
58875905,2
37283656,2
77271385,2
16008212,2
21069600,2
896061,2
22378524,2
28719287,2
13353162,2
250900294,2
352145373,2
14426892,2
26335321,2
130684475,2
54938951,2
38699900,2
7891352,2
15255520,2
14682736,2
15359658,2
41699068,2
16269115,2
64822927,2
57722096,2
363192021,2
14502782,2
189592841,2
19123889,2
134129918,2
306410055,2
232006900,2
45425381,2
31100650,2
49710326,2
14424445,2
5675382,2
19030402,2
47851418,2
22458821,2
10127592,2
18122308,2
342943472,2
15420650,2
100629311,2
18159189,2
199039532,2
40818894,2
43458118,2
66542823,2
66547623,2
163751088,2
24800122,2
63485337,2
32309773,2
25973084,2
15931378,2
29713877,2
27912360,2
69111323,2
17643774,2
221966395,2
16305227,2
43621019,2
24133152,2
16059445,2
71713,2
34955221,2
41489016,2
179141280,2
69117101,2
47997436,2
20064562,2
19519021,2
80946082,2
12595712,2
28074588,2
14431901,2
18349588,2
7344912,1
28061932,1
11404142,1
90404083,1
50998426,1
321624667,1
78165672,1
41788605,1
48612613,1
44759834,1
17013763,1
18819743,1
104812895,1
20172983,1
190926465,1
152967678,1
112720695,1
19159636,1
18927441,1
83348215,1
20442503,1
7860742,1
117778179,1
14637807,1
150402886,1
134852921,1
249893605,1
15819632,1
21655466,1
15450986,1
23545207,1
40265638,1
4255361,1
9453872,1
18943699,1
19818494,1
33080832,1
371607014,1
46524229,1
14085431,1
91004493,1
76711334,1
17326776,1
15999856,1
106637195,1
18748831,1
23907884,1
18069427,1
18220150,1
60716542,1
2450021,1
217158161,1
17106980,1
217726715,1
25183968,1
13843082,1
37542077,1
21615593,1
21149090,1
6418272,1
86859709,1
52202781,1
73439104,1
15369466,1
3001341,1
48024414,1
80443673,1
20506424,1
7410032,1
15534317,1
15943410,1
359075911,1
129676826,1
123938019,1
172453859,1
378979062,1
23375702,1
14148135,1
116082971,1
291421661,1
20486520,1
24916429,1
14641615,1
15942739,1
16465113,1
27571861,1
74264908,1
183658115,1
59974294,1
18088645,1
89018574,1
43672586,1
16673982,1
82688781,1
43264471,1
78944566,1
16966162,1
87144497,1
15927843,1
35138072,1
244947611,1
353505858,1
15429067,1
76057704,1
18021714,1
14082692,1
73709270,1
225287917,1
43401958,1
76341388,1
40204661,1
21536880,1
416046573,1
24420102,1
237953998,1
15313289,1
361905554,1
49588164,1
39360648,1
185518062,1
6742582,1
14217832,1
89503894,1
19137828,1
34642720,1
19276406,1
146030452,1
101545743,1
11562992,1
14685248,1
34322953,1
19501801,1
97044616,1
14959652,1
43977550,1
186081911,1
16557902,1
98675361,1
835261,1
144506572,1
88422789,1
796317,1
22366469,1
38798496,1
26334401,1
184594566,1
12576702,1
2021791,1
16175350,1
9215532,1
